step,baseline_s42_val_ppl,baseline_s43_val_ppl,lsa_s42_val_ppl,lsa_s43_val_ppl,baseline_mean,lsa_mean,lsa_advantage_pct
200,6.5813,6.6410,8.0935,8.1453,6.6112,8.1194,-22.81
400,4.9712,5.0680,5.5658,5.5405,5.0196,5.5531,-10.63
600,4.5859,4.6631,4.8936,4.9739,4.6245,4.9338,-6.69
800,4.5448,4.4209,4.7820,4.6285,4.4828,4.7052,-4.96
1000,4.4151,4.4917,4.5625,4.5248,4.4534,4.5436,-2.03
1200,4.6367,4.4453,4.5880,4.4921,4.5410,4.5401,0.02
1400,4.7210,4.5207,4.5202,4.5160,4.6208,4.5181,2.22
1600,4.8954,4.6622,4.6917,4.6801,4.7788,4.6859,1.94
1800,5.2715,5.0313,4.6544,4.7181,5.1514,4.6862,9.03
2000,5.6541,5.1157,4.8514,4.8289,5.3849,4.8402,10.12
2200,5.8017,5.5416,5.0216,4.9818,5.6717,5.0017,11.81
2400,6.1155,5.7008,5.0318,5.2822,5.9082,5.1570,12.71
2600,6.6283,5.9849,5.2503,5.4614,6.3066,5.3558,15.08
2800,6.7639,6.3795,5.3437,5.6357,6.5717,5.4897,16.46
3000,7.3577,6.2904,5.5776,5.8295,6.8240,5.7035,16.42
